Movie,IMDB
Top Gun,tt0092099
Dirty Dancing,tt0092890
Beetlejuice,tt0094721
Working Girl,tt0096463
Batman,tt0096895
Eternal Sunshine of the Spotless Mind,tt0338013
Dead Poets Society,tt0097165
The Little Mermaid,tt0097757
Goodfellas,tt0099685
Ghost,tt0099653
City Slickers,tt0101587
Thelma & Louise,tt0103074
Beauty and the Beast,tt0101414
Death Becomes Her,tt0104070
The Last of the Mohicans,tt0104691
My Cousin Vinny,tt0104952
A River Runs Through It,tt0105265
Mrs. Doubtfire,tt0107614
The Fugitive,tt0106977
